run_name,mean_tokens_per_sec_gpu,mean_tflops_per_gpu,median_elapsed_ms,final_lm_loss,mean_lm_loss_last_10pct,total_iterations,speedup
bs_mbs12_gbs768,72446.12631578947,357.6505263157895,2714.9,4.882548,4.955574777777778,100,1.0638215784894294
bs_mbs12_gbs384,71887.62105263158,354.8957894736842,1368.1,5.125504,5.079957888888889,100,1.0556203125161818
bs_mbs8_gbs256,71213.56842105264,351.56947368421055,920.5,5.253484,5.242000222222222,100,1.045722312844183
bs_mbs8_gbs512,70269.92631578947,346.9136842105263,1862.6,5.074133,5.046014888888889,100,1.031865577018525
bs_mbs4_gbs512,69248.75789473685,341.8673684210526,1879.9,5.038451,5.011948111111111,100,1.0168704205231665
attn_cudnn,68099.88421052632,336.1978947368421,958.7,5.099434,5.086460444444445,100,1.0
bs_mbs2_gbs256,56364.336842105266,278.26,1152.5,5.24134,5.229181888888889,100,0.8276715518026231
