run,tp,pp,dp,tok_per_sec_gpu,tflops_per_gpu,median_iter_ms,final_loss,relative_speedup
par_3b_dp16_tp1_pp1,1,1,16,19364,439.0,3387.0,5.8020,1.000
par_3b_tp1_pp2_dp8,1,2,8,16496,374.0,3976.6,5.7570,0.852
par_3b_tp2_pp1_dp8,2,1,8,14883,337.5,4406.4,5.7780,0.769
par_3b_tp4_pp1_dp4,4,1,4,13975,316.9,4693.5,5.7715,0.722
par_3b_tp2_pp2_dp4,2,2,4,13573,307.7,4835.2,5.9198,0.701
par_3b_tp4_pp4_dp1,4,4,1,11863,269.0,5520.7,5.7378,0.613
