run,tp,pp,dp,tok_per_sec_gpu,tflops_per_gpu,median_iter_ms,final_loss,relative_speedup
par_tp1_pp2_dp8,1,2,8,55017,271.6,1170.0,5.1864,1.000
par_tp1_pp4_dp4,1,4,4,46045,227.3,1424.7,5.1483,0.837
par_tp2_pp1_dp8,2,1,8,41510,205.0,1568.1,5.1391,0.754
par_tp2_pp2_dp4,2,2,4,36825,181.8,1764.0,5.1751,0.669
par_tp2_pp4_dp2,2,4,2,32576,160.9,1990.0,5.2314,0.592
par_tp4_pp1_dp4,4,1,4,25145,124.2,2591.9,5.3113,0.457
par_tp4_pp2_dp2,4,2,2,23213,114.7,2788.0,5.2157,0.422
par_tp4_pp4_dp1,4,4,1,21444,105.9,3034.9,5.2308,0.390
