run_name,mean_tokens_per_sec_gpu,mean_tflops_per_gpu,median_elapsed_ms,final_lm_loss,mean_lm_loss_last_10pct,total_iterations,speedup
graph_te,68674.81052631579,339.0368421052632,949.4,5.740839,5.733869666666667,100,1.0084423978462596
graph_full,68338.8947368421,337.37368421052633,950.1,5.203313,5.191171222222222,100,1.0035097053260311
attn_cudnn,68099.88421052632,336.1978947368421,958.7,5.099434,5.086460444444445,100,1.0
