run_name,mean_tokens_per_sec_gpu,mean_tflops_per_gpu,median_elapsed_ms,final_lm_loss,mean_lm_loss_last_10pct,total_iterations,speedup
prec_fp8_hybrid,72679.8947368421,358.8063157894737,901.0,5.120571,5.108722888888889,100,1.067254307102153
prec_fp8_e4m3,72099.01052631579,355.93684210526317,898.5,5.220605,5.207786666666666,100,1.0587244216660698
attn_cudnn,68099.88421052632,336.1978947368421,958.7,5.099434,5.086460444444445,100,1.0
prec_fp16,67757.08421052631,334.5084210526316,964.2,5.346929,5.37344725,100,0.9949662175791627
prec_fp32,11474.484210526316,56.65684210526316,5715.3,5.183466,5.171328222222222,100,0.16849491513162787
