run_name,mean_tokens_per_sec_gpu,mean_tflops_per_gpu,median_elapsed_ms,final_lm_loss,mean_lm_loss_last_10pct,total_iterations,speedup
model_125m,182868.36767676767,166.6448484848485,357.2,3.585383,3.5992273469387754,500,2.7593858301205474
model_350m,103664.24242424243,262.9171717171717,630.5,3.168964,3.195185102040816,500,1.564237955802439
baseline_760m_4n_bf16_train,66271.40202020202,327.17171717171715,987.9,2.959865,2.9872434081632653,500,1.0
model_1.5b,32216.042424242423,327.1880808080808,2035.1,2.993083,3.0264828775510204,500,0.4861228439745663
model_3b,18889.864646464648,428.2422222222222,3471.5,2.971532,3.0121955918367345,500,0.28503795107135815
