run_name,mean_tokens_per_sec_gpu,mean_tflops_per_gpu,median_elapsed_ms,final_lm_loss,mean_lm_loss_last_10pct,total_iterations,speedup
attn_fa3,69969.77894736842,345.43052631578945,935.1,5.203979,5.192346555555556,100,1.0274581191806649
attn_cudnn,68099.88421052632,336.1978947368421,958.7,5.099434,5.086460444444445,100,1.0
attn_fa2,61493.38947368421,303.5831578947368,1063.3,5.188788,5.176281888888889,100,0.9029881649076148
attn_local,37848.28421052632,186.8515789473684,1721.0,5.199007,5.187446444444444,100,0.555776043517502
attn_unfused,37743.18947368421,186.33263157894737,1737.5,5.198367,5.186505111111111,100,0.5542327995302256
