run_name                                     , model_size, nodes, gpus, tp, pp, vpp , dp, seq_len, micro_batch, global_batch, precision          , prec_aware_opt, dp_strat, attention_backend, cuda_graph, fusion_opts                                                                  , mode      , target_minutes, target_steps, tok_s_gpu, status  , notes
graph_full                                   , 760m      ,     4,   16,  1,  1, none, 16,    4096,           4,          256, bf16               , none          , distopt , cuDNN            , full      , none                                                                         , throughput,             30,          100, 68338    , finished, Enable CUDA graph capture of full iteration
graph_te                                     , 760m      ,     4,   16,  1,  1, none, 16,    4096,           4,          256, bf16               , none          , distopt , cuDNN            , te        , none                                                                         , throughput,             30,          100, 68674    , finished, Enable CUDA graph capture of TE attn+mlp
prec_fp32                                    , 760m      ,     4,   16,  1,  1, none, 16,    4096,           2,          256, fp32               , none          , distopt , cuDNN            , none      , none                                                                         , throughput,             30,          100, 11474    , finished, fp32 baseline (no precision flags)
prec_fp16                                    , 760m      ,     4,   16,  1,  1, none, 16,    4096,           4,          256, fp16               , none          , distopt , cuDNN            , none      , none                                                                         , throughput,             30,          100, 67757    , finished, fp16 training
prec_fp8_delayed                             , 760m      ,     4,   16,  1,  1, none, 16,    4096,           4,          256, bf16_fp8_delayed   , none          , distopt , cuDNN            , none      , none                                                                         , throughput,             30,          100, 76719    , finished, fp8 delayed scaling (amax history)
prec_fp8_current                             , 760m      ,     4,   16,  1,  1, none, 16,    4096,           4,          256, bf16_fp8_current   , none          , distopt , cuDNN            , none      , none                                                                         , throughput,             30,          100, 74096    , finished, fp8 current/tensorwise scaling
prec_fp8_subchannel                          , 760m      ,     4,   16,  1,  1, none, 16,    4096,           4,          256, bf16_fp8_subchannel, none          , distopt , cuDNN            , none      , none                                                                         , throughput,             30,          100, 72291    , finished, fp8 subchannel/blockwise scaling
opt_fp32                                     , 760m      ,     4,   16,  1,  1, none, 16,    4096,           4,          256, bf16               , fp32_fp32     , distopt , cuDNN            , none      , none                                                                         , throughput,             30,          100, 67783    , finished, Full precision aware optimizer
opt_bf16                                     , 760m      ,     4,   16,  1,  1, none, 16,    4096,           4,          256, bf16               , bf16_fp32     , distopt , cuDNN            , none      , none                                                                         , throughput,             30,          100, 69158    , finished, Reduce master weight precision in optimizer
opt_fp16                                     , 760m      ,     4,   16,  1,  1, none, 16,    4096,           4,          256, bf16               , bf16_fp16     , distopt , cuDNN            , none      , none                                                                         , throughput,             30,          100, 68268    , finished, Reduce master and param weight precision in optimizer
par_tp2_pp1_dp8                              , 760m      ,     4,   16,  2,  1, none,  8,    4096,           4,          256, bf16               , none          , distopt , cuDNN            , none      , none                                                                         , throughput,             30,          100, 41509    , finished, intra-node tensor parallelism overhead
par_tp4_pp1_dp4                              , 760m      ,     4,   16,  4,  1, none,  4,    4096,           4,          256, bf16               , none          , distopt , cuDNN            , none      , none                                                                         , throughput,             30,          100, 25144    , finished, full-node tensor parallel groups
par_tp1_pp2_dp8                              , 760m      ,     4,   16,  1,  2, none,  8,    4096,           4,          256, bf16               , none          , distopt , cuDNN            , none      , none                                                                         , throughput,             30,          100, 55016    , finished, pipeline parallelism overhead
par_tp1_pp4_dp4                              , 760m      ,     4,   16,  1,  4, none,  4,    4096,           4,          256, bf16               , none          , distopt , cuDNN            , none      , none                                                                         , throughput,             30,          100, 46045    , finished, pipeline stage per node if rank layout cooperates
par_tp2_pp2_dp4                              , 760m      ,     4,   16,  2,  2, none,  4,    4096,           4,          256, bf16               , none          , distopt , cuDNN            , none      , none                                                                         , throughput,             30,          100, 36824    , finished, hybrid TP+PP moderate
par_tp4_pp2_dp2                              , 760m      ,     4,   16,  4,  2, none,  2,    4096,           4,          256, bf16               , none          , distopt , cuDNN            , none      , none                                                                         , throughput,             30,          100, 23212    , finished, hybrid with full intra-node TP
